1.52068 0.26932
1.51231 0.256944
1.50379 0.244578
1.49512 0.232222
1.4863 0.219876
1.47734 0.207542
1.46822 0.19522
1.45896 0.18291
1.44955 0.170615
1.44 0.158333
1.4303 0.146068
1.42046 0.133818
1.41048 0.121585
1.40036 0.109369
1.39009 0.097171
1.37969 0.084992
1.36915 0.0728322
1.35847 0.0606925
1.34766 0.0485733
1.33671 0.0364755
1.32563 0.0243995
1.31442 0.0123459
1.30307 0.000315139
1.2916 -0.0116922
1.27999 -0.0236756
1.26826 -0.0356347
1.2564 -0.0475688
1.24442 -0.0594775
1.23231 -0.0713604
1.22008 -0.0832172
1.20772 -0.0950476
1.19524 -0.106851
1.18265 -0.118628
1.16994 -0.130378
1.15711 -0.1421
1.14416 -0.153794
1.1311 -0.16546
1.11793 -0.177099
1.10464 -0.188708
1.09124 -0.20029
1.07774 -0.211843
1.06413 -0.223367
1.05041 -0.234862
1.03658 -0.246329
1.02266 -0.257766
1.00863 -0.269175
0.994496 -0.280557
0.980266 -0.291912
0.965937 -0.303241
0.951512 -0.314545
0.936992 -0.325824
0.922377 -0.337079
0.907671 -0.348311
0.892873 -0.359519
0.877986 -0.370702
0.863012 -0.38186
0.847951 -0.392992
0.832807 -0.404098
0.817579 -0.415177
0.802271 -0.426229
0.786883 -0.437254
0.771417 -0.44826
0.755874 -0.459253
0.740254 -0.470242
0.724559 -0.481234
0.708789 -0.492235
0.692946 -0.503253
0.677031 -0.514295
0.661046 -0.525364
0.644993 -0.536444
0.628876 -0.547519
0.612699 -0.558571
0.596466 -0.569584
0.58018 -0.58054
0.563845 -0.591421
0.547465 -0.602212
0.531041 -0.612914
0.514568 -0.623599
0.498042 -0.634349
0.481455 -0.645248
0.464802 -0.656381
0.448078 -0.667831
0.431276 -0.679683
0.414391 -0.692018
0.397423 -0.704863
0.380395 -0.718003
0.363338 -0.731169
0.346281 -0.744091
0.329254 -0.756499
0.312287 -0.768122
0.295409 -0.77869
0.27865 -0.787933
0.262022 -0.795782
0.245446 -0.803094
0.228819 -0.810997
0.212039 -0.820615
0.195002 -0.833077
0.177606 -0.849509
0.159747 -0.871037
0.141323 -0.898787
0.12229 -0.93341
0.102929 -0.972954
0.0836334 -1.01458
0.0647954 -1.05544
0.0468075 -1.09271
0.0300624 -1.12354
0.0149524 -1.14508
0.00187026 -1.15451
